id,split,label,snr_target,noise_type,pd_path
63870910c7994e60a3a7a9887aeb8694,train,1,6.0,1overf,.\data\pd\63870910c7994e60a3a7a9887aeb8694_pd.npz
c6aed3334d714fe785799b759a06a1fa,train,1,4.0,1overf,.\data\pd\c6aed3334d714fe785799b759a06a1fa_pd.npz
72b381dd77dc471b8a8d7b67c7fb4488,train,1,8.0,white,.\data\pd\72b381dd77dc471b8a8d7b67c7fb4488_pd.npz
adeda6f7ac334b08b3a43295d4b25e79,val,1,4.0,1overf,.\data\pd\adeda6f7ac334b08b3a43295d4b25e79_pd.npz
76cb272161ad4566ac9b144599cbc89d,test,1,3.0,1overf,.\data\pd\76cb272161ad4566ac9b144599cbc89d_pd.npz
fe0a1c6f6a6743d08d95690b6147c460,test,1,2.0,1overf,.\data\pd\fe0a1c6f6a6743d08d95690b6147c460_pd.npz
8038a9a82d494da8ba8144bf45b808eb,train,1,10.0,1overf,.\data\pd\8038a9a82d494da8ba8144bf45b808eb_pd.npz
31cb920c74bb40338ea7a2219db19508,test,1,5.0,white,.\data\pd\31cb920c74bb40338ea7a2219db19508_pd.npz
3072353ed8da446c91eb3f4ffdf32571,val,1,5.0,1overf,.\data\pd\3072353ed8da446c91eb3f4ffdf32571_pd.npz
6fb179c921d64e0c9d9d2be097bc5a36,train,1,8.0,white,.\data\pd\6fb179c921d64e0c9d9d2be097bc5a36_pd.npz
9a65634d4bc746e8943f2c60ad4467ff,test,1,2.0,1overf,.\data\pd\9a65634d4bc746e8943f2c60ad4467ff_pd.npz
62ad6d3ed39a4964a47a2997ac271f87,train,1,10.0,1overf,.\data\pd\62ad6d3ed39a4964a47a2997ac271f87_pd.npz
0795f3556f2b47c2a58da8923b1287a0,train,1,2.0,1overf,.\data\pd\0795f3556f2b47c2a58da8923b1287a0_pd.npz
dcceb4e85d904305a4b1083bf32a303f,train,1,4.0,1overf,.\data\pd\dcceb4e85d904305a4b1083bf32a303f_pd.npz
7a26ba36f2f642dda9c92914f94a7ab0,train,1,5.0,white,.\data\pd\7a26ba36f2f642dda9c92914f94a7ab0_pd.npz
9546506f45b3464aa87cfa87bd837e93,val,1,6.0,1overf,.\data\pd\9546506f45b3464aa87cfa87bd837e93_pd.npz
c51388462c0d4847b2ebf6ac13119476,train,1,2.0,1overf,.\data\pd\c51388462c0d4847b2ebf6ac13119476_pd.npz
85696317263046f3b82b370b7dfbac0f,test,1,3.0,white,.\data\pd\85696317263046f3b82b370b7dfbac0f_pd.npz
7fd301b314bc4f958e474cf854be7295,train,1,8.0,white,.\data\pd\7fd301b314bc4f958e474cf854be7295_pd.npz
0edac021442b40548783001c7bd76d38,train,1,8.0,white,.\data\pd\0edac021442b40548783001c7bd76d38_pd.npz
3026b714a5dc4cd5be6a3a6e4d3b8b3c,val,1,2.0,1overf,.\data\pd\3026b714a5dc4cd5be6a3a6e4d3b8b3c_pd.npz
35d36e116b8e46f3997ed9514bf9500f,val,1,8.0,1overf,.\data\pd\35d36e116b8e46f3997ed9514bf9500f_pd.npz
64e2249a2b98411ab793110873e69a53,train,1,10.0,1overf,.\data\pd\64e2249a2b98411ab793110873e69a53_pd.npz
6b22ad64e99a4cf4823db5b1c7382a56,train,1,3.0,1overf,.\data\pd\6b22ad64e99a4cf4823db5b1c7382a56_pd.npz
fea02791e88541e3b4cb3f7cda7b646c,train,1,3.0,1overf,.\data\pd\fea02791e88541e3b4cb3f7cda7b646c_pd.npz
ef04e18bf4c54916a0c9be661c3218b5,train,1,4.0,1overf,.\data\pd\ef04e18bf4c54916a0c9be661c3218b5_pd.npz
9b1ec993fc274871a5718091d2162580,train,1,8.0,1overf,.\data\pd\9b1ec993fc274871a5718091d2162580_pd.npz
f3e9d0b41e6f4303aa0290fe9a549341,train,1,6.0,1overf,.\data\pd\f3e9d0b41e6f4303aa0290fe9a549341_pd.npz
bb0c4a8ac3344c14b51adfb8fac0f190,test,1,10.0,1overf,.\data\pd\bb0c4a8ac3344c14b51adfb8fac0f190_pd.npz
72864eb718e64bd4b11b12aae9e36438,train,1,2.0,white,.\data\pd\72864eb718e64bd4b11b12aae9e36438_pd.npz
60f2e3eb006a4613812f3f192d4e5774,train,1,4.0,1overf,.\data\pd\60f2e3eb006a4613812f3f192d4e5774_pd.npz
a0aef7db817140cd9da3a14d0b17d333,train,1,2.0,white,.\data\pd\a0aef7db817140cd9da3a14d0b17d333_pd.npz
23284c321cb5423b9ef9a53f4f2d52d1,val,1,2.0,1overf,.\data\pd\23284c321cb5423b9ef9a53f4f2d52d1_pd.npz
26d39ba181424ab28c0e7efe88ccc146,val,1,6.0,white,.\data\pd\26d39ba181424ab28c0e7efe88ccc146_pd.npz
ad3d8eb9307149aa8602baa80d330bd1,train,1,8.0,1overf,.\data\pd\ad3d8eb9307149aa8602baa80d330bd1_pd.npz
2c3c3ce4343f4415a0eca9cb138a0c19,train,1,5.0,1overf,.\data\pd\2c3c3ce4343f4415a0eca9cb138a0c19_pd.npz
b74f4d520bf740179e02041f981fa793,test,1,6.0,1overf,.\data\pd\b74f4d520bf740179e02041f981fa793_pd.npz
