id,split,label,snr_target,noise_type,homology,n,p_mean,p_med,p95,p_max
63870910c7994e60a3a7a9887aeb8694,train,1,6.0,1overf,H0,2028,inf,0.2997147738933563,0.40811383724212646,inf
63870910c7994e60a3a7a9887aeb8694,train,1,6.0,1overf,H1,807,0.07599283099322218,0.051811277866363525,0.21373990178108215,1.9332906603813171
c6aed3334d714fe785799b759a06a1fa,train,1,4.0,1overf,H0,2008,inf,0.3493802845478058,0.5358677506446838,inf
c6aed3334d714fe785799b759a06a1fa,train,1,4.0,1overf,H1,1129,0.07395160810624318,0.05621695518493652,0.19594168663024902,2.0191250145435333
72b381dd77dc471b8a8d7b67c7fb4488,train,1,8.0,white,H0,2008,inf,0.353280246257782,0.4649635851383209,inf
72b381dd77dc471b8a8d7b67c7fb4488,train,1,8.0,white,H1,876,0.06952838436381457,0.04618954658508301,0.19733405113220215,1.72054061293602
adeda6f7ac334b08b3a43295d4b25e79,val,1,4.0,1overf,H0,1009,inf,0.4679129123687744,0.6410377025604248,inf
adeda6f7ac334b08b3a43295d4b25e79,val,1,4.0,1overf,H1,433,0.1030436432802099,0.06239992380142212,0.3486306667327881,0.6101258397102356
76cb272161ad4566ac9b144599cbc89d,test,1,3.0,1overf,H0,1976,inf,0.5542628169059753,0.7445845007896423,inf
76cb272161ad4566ac9b144599cbc89d,test,1,3.0,1overf,H1,1146,0.09885202179196409,0.07132565975189209,0.2743948698043823,1.6877056956291199
fe0a1c6f6a6743d08d95690b6147c460,test,1,2.0,1overf,H0,3000,inf,0.8887819945812225,1.2001312971115112,inf
fe0a1c6f6a6743d08d95690b6147c460,test,1,2.0,1overf,H1,3192,0.09872891318827942,0.07986551523208618,0.2517275810241699,1.0293508172035217
8038a9a82d494da8ba8144bf45b808eb,train,1,10.0,1overf,H0,1012,inf,0.24477864801883698,0.4029255509376526,inf
8038a9a82d494da8ba8144bf45b808eb,train,1,10.0,1overf,H1,300,0.10418271529177825,0.06975661218166351,0.3170657157897949,0.5791235566139221
31cb920c74bb40338ea7a2219db19508,test,1,5.0,white,H0,2018,inf,0.5412641763687134,0.6916049122810364,inf
31cb920c74bb40338ea7a2219db19508,test,1,5.0,white,H1,1132,0.07674937655774107,0.055255115032196045,0.2158297300338745,1.788885772228241
3072353ed8da446c91eb3f4ffdf32571,val,1,5.0,1overf,H0,2030,inf,0.5188951790332794,0.7032120227813721,inf
3072353ed8da446c91eb3f4ffdf32571,val,1,5.0,1overf,H1,1068,0.07989022663135208,0.05510854721069336,0.24626612663269043,0.6050024628639221
6fb179c921d64e0c9d9d2be097bc5a36,train,1,8.0,white,H0,1004,inf,0.42054039239883423,0.5611531138420105,inf
6fb179c921d64e0c9d9d2be097bc5a36,train,1,8.0,white,H1,370,0.10517729424141549,0.07499533891677856,0.26778602600097656,1.786955714225769
9a65634d4bc746e8943f2c60ad4467ff,test,1,2.0,1overf,H0,1982,inf,0.725673645734787,0.9510457515716553,inf
9a65634d4bc746e8943f2c60ad4467ff,test,1,2.0,1overf,H1,1553,0.11010326605340548,0.08063828945159912,0.30892014503479004,1.078427016735077
62ad6d3ed39a4964a47a2997ac271f87,train,1,10.0,1overf,H0,2000,inf,0.3489847183227539,0.46834298968315125,inf
62ad6d3ed39a4964a47a2997ac271f87,train,1,10.0,1overf,H1,892,0.08188723375177169,0.061450645327568054,0.21275466680526733,2.3091760873794556
0795f3556f2b47c2a58da8923b1287a0,train,1,2.0,1overf,H0,2030,inf,0.6326081454753876,0.8653264045715332,inf
0795f3556f2b47c2a58da8923b1287a0,train,1,2.0,1overf,H1,1371,0.10457005979456578,0.07480204105377197,0.29049360752105713,0.8410707116127014
dcceb4e85d904305a4b1083bf32a303f,train,1,4.0,1overf,H0,2023,inf,0.48867934942245483,0.6831385493278503,inf
dcceb4e85d904305a4b1083bf32a303f,train,1,4.0,1overf,H1,1217,0.07246989959463686,0.05434393882751465,0.19300401210784912,1.4640392065048218
7a26ba36f2f642dda9c92914f94a7ab0,train,1,5.0,white,H0,2000,inf,0.5205754637718201,0.6742988228797913,inf
7a26ba36f2f642dda9c92914f94a7ab0,train,1,5.0,white,H1,1156,0.07569815960928643,0.054692625999450684,0.20666766166687012,1.708310842514038
9546506f45b3464aa87cfa87bd837e93,val,1,6.0,1overf,H0,2028,inf,0.28258632123470306,0.41429564356803894,inf
9546506f45b3464aa87cfa87bd837e93,val,1,6.0,1overf,H1,747,0.07967637285809599,0.04429486393928528,0.2612060010433197,1.9943085014820099
c51388462c0d4847b2ebf6ac13119476,train,1,2.0,1overf,H0,2018,inf,0.861587405204773,1.2030030488967896,inf
c51388462c0d4847b2ebf6ac13119476,train,1,2.0,1overf,H1,1886,0.10730691890954212,0.0876513421535492,0.28231024742126465,0.5864303112030029
85696317263046f3b82b370b7dfbac0f,test,1,3.0,white,H0,3000,inf,0.6926072537899017,0.9557099342346191,inf
85696317263046f3b82b370b7dfbac0f,test,1,3.0,white,H1,2601,0.07491612672714122,0.058914780616760254,0.19320905208587646,1.597662627696991
7fd301b314bc4f958e474cf854be7295,train,1,8.0,white,H0,3000,inf,0.3008315712213516,0.4060535132884979,inf
7fd301b314bc4f958e474cf854be7295,train,1,8.0,white,H1,1469,0.051515997338652045,0.03504246473312378,0.15629428625106812,1.819293588399887
0edac021442b40548783001c7bd76d38,train,1,8.0,white,H0,3000,inf,0.3161856532096863,0.43299272656440735,inf
0edac021442b40548783001c7bd76d38,train,1,8.0,white,H1,1401,0.05750352044262093,0.03843507170677185,0.18023991584777832,0.4051150679588318
3026b714a5dc4cd5be6a3a6e4d3b8b3c,val,1,2.0,1overf,H0,1006,inf,0.9538776576519012,1.2849777936935425,inf
3026b714a5dc4cd5be6a3a6e4d3b8b3c,val,1,2.0,1overf,H1,850,0.1254272747039795,0.09739518165588379,0.345379114151001,0.5614608526229858
35d36e116b8e46f3997ed9514bf9500f,val,1,8.0,1overf,H0,2012,inf,0.40713004767894745,0.5374000668525696,inf
35d36e116b8e46f3997ed9514bf9500f,val,1,8.0,1overf,H1,834,0.08737489234486358,0.05889676511287689,0.2761157155036926,0.583794355392456
64e2249a2b98411ab793110873e69a53,train,1,10.0,1overf,H0,994,inf,0.3299327492713928,0.43840909004211426,inf
64e2249a2b98411ab793110873e69a53,train,1,10.0,1overf,H1,422,0.10890462351918785,0.0727144181728363,0.3051185607910156,2.060002028942108
6b22ad64e99a4cf4823db5b1c7382a56,train,1,3.0,1overf,H0,1971,inf,0.7390393018722534,0.9931689500808716,inf
6b22ad64e99a4cf4823db5b1c7382a56,train,1,3.0,1overf,H1,1506,0.09113740897273638,0.06988471746444702,0.24085694551467896,1.490100920200348
fea02791e88541e3b4cb3f7cda7b646c,train,1,3.0,1overf,H0,3000,inf,0.7118955254554749,0.9640132188796997,inf
fea02791e88541e3b4cb3f7cda7b646c,train,1,3.0,1overf,H1,2404,0.07993757791705615,0.06152009963989258,0.21602070331573486,1.425365388393402
ef04e18bf4c54916a0c9be661c3218b5,train,1,4.0,1overf,H0,2000,inf,0.5697339475154877,0.7433670163154602,inf
ef04e18bf4c54916a0c9be661c3218b5,train,1,4.0,1overf,H1,1265,0.08033251046192033,0.057246625423431396,0.22779631614685059,1.6318204402923584
9b1ec993fc274871a5718091d2162580,train,1,8.0,1overf,H0,3000,inf,0.28276608884334564,0.4036126732826233,inf
9b1ec993fc274871a5718091d2162580,train,1,8.0,1overf,H1,1241,0.06282416130149682,0.03921222686767578,0.2077578902244568,0.495635986328125
f3e9d0b41e6f4303aa0290fe9a549341,train,1,6.0,1overf,H0,2033,inf,0.3740130662918091,0.5225431323051453,inf
f3e9d0b41e6f4303aa0290fe9a549341,train,1,6.0,1overf,H1,955,0.06876150458583033,0.04425981640815735,0.2189657986164093,0.5000272989273071
bb0c4a8ac3344c14b51adfb8fac0f190,test,1,10.0,1overf,H0,2028,inf,0.26716524362564087,0.3863987624645233,inf
bb0c4a8ac3344c14b51adfb8fac0f190,test,1,10.0,1overf,H1,670,0.07660904368802683,0.04468773305416107,0.2505922317504883,1.8984654247760773
72864eb718e64bd4b11b12aae9e36438,train,1,2.0,white,H0,2018,inf,0.8613530397415161,1.2018667459487915,inf
72864eb718e64bd4b11b12aae9e36438,train,1,2.0,white,H1,1891,0.1065545553003651,0.08048760890960693,0.2854970097541809,0.7013218402862549
60f2e3eb006a4613812f3f192d4e5774,train,1,4.0,1overf,H0,2012,inf,0.5498381853103638,0.7227859497070312,inf
60f2e3eb006a4613812f3f192d4e5774,train,1,4.0,1overf,H1,1425,0.07317441179041277,0.05645352602005005,0.1935030221939087,1.6138595938682556
a0aef7db817140cd9da3a14d0b17d333,train,1,2.0,white,H0,3000,inf,0.9239820837974548,1.2675468921661377,inf
a0aef7db817140cd9da3a14d0b17d333,train,1,2.0,white,H1,3114,0.10065498576764503,0.08073610067367554,0.25803983211517334,0.7484683990478516
23284c321cb5423b9ef9a53f4f2d52d1,val,1,2.0,1overf,H0,988,inf,0.696075975894928,0.9488932490348816,inf
23284c321cb5423b9ef9a53f4f2d52d1,val,1,2.0,1overf,H1,727,0.12425672048715647,0.0944373607635498,0.3374403119087219,1.7475429773330688
26d39ba181424ab28c0e7efe88ccc146,val,1,6.0,white,H0,2012,inf,0.4851132184267044,0.6365234851837158,inf
26d39ba181424ab28c0e7efe88ccc146,val,1,6.0,white,H1,970,0.08226143425887393,0.0551525354385376,0.26523053646087646,0.5559608936309814
