feature,model,auc,ap,f1,brier
baseline,logreg,1.0,0.9999999999999997,1.0,0.0066792027085181525
baseline,rf,1.0,1.0,1.0,1.1555555555555548e-05
baseline,svm,1.0,0.9999999999999997,0.9940828402366864,0.0029263488193692526
bc,logreg,0.9737556561085974,0.9755065368250636,0.9431818181818181,0.05522439565926903
bc,rf,1.0,1.0,1.0,0.004969574074074074
bc,svm,0.9527601809954751,0.9587482499872266,0.9101123595505618,0.08284167365557407
pi,logreg,0.9887782805429864,0.9920149334634205,0.9467455621301775,0.04359093331001104
pi,rf,1.0,1.0,1.0,0.0033661481481481476
pi,svm,0.9842533936651584,0.9897587612098246,0.9390243902439025,0.05175711902262219
pl,logreg,0.9949321266968326,0.9960518086231678,0.9647058823529412,0.03323412303090745
pl,rf,1.0,1.0,1.0,0.005280314814814815
pl,svm,1.0,0.9999999999999997,0.9940828402366864,0.003994409152785315
